min_matched_sentences,min_distinct_families,mode,delta,criterion,base_weight,A_weighted_pressure_G_j,revised_weight,change_from_base
2,2,salience_only,0.3,Geological Feasibility,0.15,0.03666224338951211,0.14430867352664123,-0.005691326473358765
2,2,salience_only,0.3,Market Stability,0.15,0.01846039223226303,0.1435292407539768,-0.006470759246023194
2,2,salience_only,0.3,Local Employment,0.15,0.6838921259058126,0.17202410628799783,0.022024106287997836
2,2,salience_only,0.3,Community Infrastructure,0.1,0.5051457169744659,0.10957993020045952,0.00957993020045951
2,2,salience_only,0.5,NPV,0.25,0.024100333269243095,0.23323749798162569,-0.016762502018374315
2,2,salience_only,0.5,IRR,0.2,0.010890757136868384,0.1853722846441891,-0.014627715355810922
2,2,salience_only,0.5,Geological Feasibility,0.15,0.03666224338951211,0.14081100568208657,-0.009188994317913424
2,2,salience_only,0.5,Market Stability,0.15,0.01846039223226303,0.1395525638491087,-0.010447436150891304
2,2,salience_only,0.5,Local Employment,0.15,0.6838921259058126,0.18555926522312086,0.03555926522312086
2,2,salience_only,0.5,Community Infrastructure,0.1,0.5051457169744659,0.11546738261986901,0.015467382619869005
2,2,salience_only,0.8,NPV,0.25,0.024100333269243095,0.2243813821643616,-0.025618617835638402
2,2,salience_only,0.8,IRR,0.2,0.010890757136868384,0.17764403851535743,-0.022355961484642584
2,2,salience_only,0.8,Geological Feasibility,0.15,0.03666224338951211,0.13595619356427635,-0.014043806435723644
2,2,salience_only,0.8,Market Stability,0.15,0.01846039223226303,0.13403288042450157,-0.01596711957549843
2,2,salience_only,0.8,Local Employment,0.15,0.6838921259058126,0.2043462560224402,0.0543462560224402
2,2,salience_only,0.8,Community Infrastructure,0.1,0.5051457169744659,0.12363924930906288,0.023639249309062874
3,2,salience_times_contention,0.0,NPV,0.25,0.00934595632035582,0.25,0.0
3,2,salience_times_contention,0.0,IRR,0.2,0.008567594443462135,0.2,0.0
3,2,salience_times_contention,0.0,Geological Feasibility,0.15,0.03427037777384854,0.15,0.0
3,2,salience_times_contention,0.0,Market Stability,0.15,0.013240572603640045,0.15,0.0
3,2,salience_times_contention,0.0,Local Employment,0.15,0.6059824628449996,0.15,0.0
3,2,salience_times_contention,0.0,Community Infrastructure,0.1,0.26725306762661283,0.1,0.0
3,2,salience_times_contention,0.1,NPV,0.25,0.00934595632035582,0.24705164041310898,-0.0029483595868910195
3,2,salience_times_contention,0.1,IRR,0.2,0.008567594443462135,0.19762594304826947,-0.002374056951730541
3,2,salience_times_contention,0.1,Geological Feasibility,0.15,0.03427037777384854,0.14860009642961855,-0.0013999035703814444
3,2,salience_times_contention,0.1,Market Stability,0.15,0.013240572603640045,0.14828866062426982,-0.0017113393757301754
3,2,salience_times_contention,0.1,Local Employment,0.15,0.6059824628449996,0.15706672806032806,0.00706672806032807
3,2,salience_times_contention,0.1,Community Infrastructure,0.1,0.26725306762661283,0.1013669314244051,0.0013669314244050962
3,2,salience_times_contention,0.3,NPV,0.25,0.00934595632035582,0.2413742928041932,-0.008625707195806798
3,2,salience_times_contention,0.3,IRR,0.2,0.008567594443462135,0.19305446994225336,-0.006945530057746646
3,2,salience_times_contention,0.3,Geological Feasibility,0.15,0.03427037777384854,0.1459044485773841,-0.0040955514226158896
3,2,salience_times_contention,0.3,Market Stability,0.15,0.013240572603640045,0.144993313423052,-0.005006686576948
3,2,salience_times_contention,0.3,Local Employment,0.15,0.6059824628449996,0.17067438698854828,0.020674386988548288
3,2,salience_times_contention,0.3,Community Infrastructure,0.1,0.26725306762661283,0.10399908826456904,0.003999088264569031
3,2,salience_times_contention,0.5,NPV,0.25,0.00934595632035582,0.2359717436848778,-0.014028256315122195
3,2,salience_times_contention,0.5,IRR,0.2,0.008567594443462135,0.18870426810432184,-0.011295731895678174
3,2,salience_times_contention,0.5,Geological Feasibility,0.15,0.03427037777384854,0.14333927713936906,-0.0066607228606309354
3,2,salience_times_contention,0.5,Market Stability,0.15,0.013240572603640045,0.14185746965477197,-0.008142530345228022
3,2,salience_times_contention,0.5,Local Employment,0.15,0.6059824628449996,0.18362339959491936,0.03362339959491936
3,2,salience_times_contention,0.5,Community Infrastructure,0.1,0.26725306762661283,0.10650384182173997,0.006503841821739964
3,2,salience_times_contention,0.8,NPV,0.25,0.00934595632035582,0.22834105223291004,-0.02165894776708996
3,2,salience_times_contention,0.8,IRR,0.2,0.008567594443462135,0.1825599374844746,-0.017440062515525406
3,2,salience_times_contention,0.8,Geological Feasibility,0.15,0.03427037777384854,0.13971616676450707,-0.010283833235492923
3,2,salience_times_contention,0.8,Market Stability,0.15,0.013240572603640045,0.13742832783507616,-0.01257167216492383
3,2,salience_times_contention,0.8,Local Employment,0.15,0.6059824628449996,0.20191289916718408,0.051912899167184084
